chiID,chirace,chicandidate
0010001,President,Hillary Clinton
0010002,President,Willie L. Wilson
0010003,President,Martin J. O'Malley
0010004,President,Roque De La Fuente
0010005,President,Larry (Lawrence) Cohen
0010006,President,Bernie Sanders
0163001,President,Jeb Bush
0163002,President,Chris Christie
0163003,President,Donald J. Trump
0163004,President,Ted Cruz
0163005,President,Marco Rubio
0163006,President,Rand Paul
0163007,President,Carly Fiorina
0163008,President,Mike Huckabee
0163009,President,Rick Santorum
0163010,President,John R. Kasich
0163011,President,Ben Carson
0011001,Senator,Andrea Zopp
0011002,Senator,Tammy Duckworth
0011003,Senator,Napoleon Harris
0164001,Senator,James T. Marter
0164002,Senator,Mark Steven Kirk
