dhID,chiID,unique_id,CandName,party,precinctsreporting,votecount,precinctstotal,totalvotes,precinctsreportingpct,votecount_dupage,votepct,totalvotes_dupage,precinctsreportingpct_kane,votecount_kane,votepct_kane,totalvotes_kane,precinctsreportingpct_lake,votecount_lake,votepct_lake,totalvotes_lake,precinctsreportingpct_mch,votecount_mch,votepct_mch,totalvotes_mch,precinctsreportingpct_will,votecount_will,votepct_will,totalvotes_will,precinctsreportingpct_chi,votecount_chi,votepct_chi,totalvotes_chi,precinctsreportingpct_statewide,votecount_statewide,votepct_statewide,totalvotes_statewide
1,0010001,polid-1746,Hillary Clinton,Dem,152,24917,3668,45750,0.0,0,0.0,0,0.0,0,0.0,0,0.0,665,0.578764,1149,0.0,0,0.0,0,0.0,0,0.0,0,0.07346544224262928,24917.0,0.5446338797814207,45750.0,1.51,25582,0.54547,46899
1,0010006,polid-1445,Bernie Sanders,Dem,152,20150,3668,45750,0.0,0,0.0,0,0.0,0,0.0,0,0.0,484,0.421236,1149,0.0,0,0.0,0,0.0,0,0.0,0,0.07346544224262928,20150.0,0.44043715846994536,45750.0,1.51,20634,0.439967,46899
2,0163003,polid-8639,Donald Trump,GOP,152,2957,3668,6321,0.0,0,0.0,0,0.0,0,0.0,0,0.0,441,0.322604,1367,0.0,0,0.0,0,0.0,0,0.0,0,0.07346544224262928,2957.0,0.46780572694193956,6321.0,1.51,3398,0.441988,7688
2,0163004,polid-61815,Ted Cruz,GOP,152,1429,3668,6321,0.0,0,0.0,0,0.0,0,0.0,0,0.0,291,0.212875,1367,0.0,0,0.0,0,0.0,0,0.0,0,0.07346544224262928,1429.0,0.2260718240784686,6321.0,1.51,1720,0.223725,7688
2,0163005,polid-53044,Marco Rubio,GOP,152,654,3668,6321,0.0,0,0.0,0,0.0,0,0.0,0,0.0,113,0.082663,1367,0.0,0,0.0,0,0.0,0,0.0,0,0.07346544224262928,654.0,0.10346464167062173,6321.0,1.51,767,0.099766,7688
2,0163010,polid-36679,John Kasich,GOP,152,1104,3668,6321,0.0,0,0.0,0,0.0,0,0.0,0,0.0,503,0.367959,1367,0.0,0,0.0,0,0.0,0,0.0,0,0.07346544224262928,1104.0,0.17465590887517798,6321.0,1.51,1607,0.209027,7688
22,0011002,polid-51631,Tammy Duckworth,Dem,152,23828,3668,42653,0.0,0,0.0,0,0.0,0,0.0,0,0.0,879,0.822264,1069,0.0,0,0.0,0,0.0,0,0.0,0,0.07346544224262928,23828.0,0.5586476918387921,42653.0,1.51,24707,0.565093,43722
22,0011001,polid-64570,Andrea Zopp,Dem,152,13842,3668,42653,0.0,0,0.0,0,0.0,0,0.0,0,0.0,137,0.128157,1069,0.0,0,0.0,0,0.0,0,0.0,0,0.07346544224262928,13842.0,0.3245258246782172,42653.0,1.51,13979,0.319725,43722
22,0011003,polid-64571,Napoleon Harris,Dem,152,4983,3668,42653,0.0,0,0.0,0,0.0,0,0.0,0,0.0,53,0.049579,1069,0.0,0,0.0,0,0.0,0,0.0,0,0.07346544224262928,4983.0,0.11682648348299064,42653.0,1.51,5036,0.115182,43722
23,0164002,polid-1277,Mark Kirk,GOP,152,3871,3668,5490,0.0,0,0.0,0,0.0,0,0.0,0,0.0,993,0.772162,1286,0.0,0,0.0,0,0.0,0,0.0,0,0.07346544224262928,3871.0,0.7051001821493624,5490.0,1.51,4864,0.717828,6776
23,0164001,polid-64572,James Marter,GOP,152,1619,3668,5490,0.0,0,0.0,0,0.0,0,0.0,0,0.0,293,0.227838,1286,0.0,0,0.0,0,0.0,0,0.0,0,0.07346544224262928,1619.0,0.2948998178506375,5490.0,1.51,1912,0.282172,6776
